date,country,fuel_type,price_eur_per_litre
2005-01-17,EUR,petrol_95,1.0455360813480468
2005-01-17,FI,diesel,0.87551
2005-01-17,FI,fuel_oil,0.30785
2005-01-17,FI,petrol_95,1.1429500000000001
2005-01-17,FR,diesel,0.9144800000000001
2005-01-17,FR,fuel_oil,0.19336
2005-01-17,FR,lpg,0.61636
2005-01-17,FR,petrol_95,1.03824
2005-01-17,GR,diesel,0.774
2005-01-17,GR,fuel_oil,0.20176
2005-01-17,GR,petrol_95,0.767
2005-01-17,HU,diesel,0.9385399999999999
2005-01-17,HU,fuel_oil,0.21330000000000002
2005-01-17,HU,lpg,0.59573
2005-01-17,HU,petrol_95,0.9593400000000001
2005-01-17,IE,diesel,0.949
2005-01-17,IE,fuel_oil,0.25923
2005-01-17,IE,petrol_95,0.941
2005-01-17,IT,diesel,1.00431
2005-01-17,IT,fuel_oil,0.24589
2005-01-17,IT,lpg,0.55188
2005-01-17,IT,petrol_95,1.08814
2005-01-17,LT,diesel,0.7150700000000001
2005-01-17,LT,fuel_oil,0.22416999999999998
2005-01-17,LT,lpg,0.42951
2005-01-17,LT,petrol_95,0.70812
2005-01-17,LU,diesel,0.724
2005-01-17,LU,fuel_oil,0.17059
2005-01-17,LU,lpg,0.391
2005-01-17,LU,petrol_95,0.902
2005-01-17,LV,diesel,0.70259
2005-01-17,LV,lpg,0.40086
2005-01-17,LV,petrol_95,0.7169500000000001
2005-01-17,MT,diesel,0.8296699999999999
2005-01-17,MT,fuel_oil,0.17527
2005-01-17,MT,petrol_95,0.86665
2005-01-17,NL,diesel,0.909
2005-01-17,NL,fuel_oil,0.223
2005-01-17,NL,lpg,0.469
2005-01-17,NL,petrol_95,1.248
2005-01-17,PL,diesel,0.8327
2005-01-17,PL,fuel_oil,0.16938999999999999
2005-01-17,PL,lpg,0.46613
2005-01-17,PL,petrol_95,0.8776900000000001
2005-01-17,PT,diesel,0.83397
2005-01-17,PT,fuel_oil,0.23527
2005-01-17,PT,lpg,0.53
2005-01-17,PT,petrol_95,0.9964500000000001
2005-01-17,SE,diesel,0.97642
2005-01-17,SE,fuel_oil,0.6242300000000001
2005-01-17,SE,petrol_95,1.1035899999999998
2005-01-17,SI,diesel,0.81578
2005-01-17,SI,fuel_oil,0.2531
2005-01-17,SI,lpg,0.54392
2005-01-17,SI,petrol_95,0.82037
2005-01-17,SK,diesel,0.8736499999999999
2005-01-17,SK,fuel_oil,0.19426
2005-01-17,SK,lpg,0.5149199999999999
2005-01-17,SK,petrol_95,0.85656
2005-01-17,UK,diesel,1.1938499999999999
2005-01-17,UK,fuel_oil,0.22634
2005-01-17,UK,petrol_95,1.12266
2005-01-24,AT,diesel,0.84
2005-01-24,AT,fuel_oil,0.21669999999999998
2005-01-24,AT,heating_oil,0.50005
2005-01-24,AT,petrol_95,0.919
2005-01-24,BE,diesel,0.855
2005-01-24,BE,fuel_oil,0.16618
2005-01-24,BE,lpg,0.389
2005-01-24,BE,petrol_95,1.091
2005-01-24,CY,diesel,0.7412799999999999
2005-01-24,CY,petrol_95,0.7616
2005-01-24,CZ,diesel,0.81217
2005-01-24,CZ,fuel_oil,0.15546000000000001
2005-01-24,CZ,lpg,0.49115
2005-01-24,CZ,petrol_95,0.80425
2005-01-24,DE,diesel,0.9658
2005-01-24,DE,fuel_oil,0.1724
2005-01-24,DE,lpg,0.5229
2005-01-24,DE,petrol_95,1.0943
2005-01-24,DK,diesel,0.90964
2005-01-24,DK,fuel_oil,0.5343600000000001
2005-01-24,DK,petrol_95,1.10178
2005-01-24,EE,diesel,0.69855
2005-01-24,EE,fuel_oil,0.11325
2005-01-24,EE,lpg,0.43460000000000004
2005-01-24,EE,petrol_95,0.6774600000000001
2005-01-24,ES,diesel,0.80821
2005-01-24,ES,fuel_oil,0.22359
2005-01-24,ES,lpg,0.53
2005-01-24,ES,petrol_95,0.85262
2005-01-24,EU,diesel,0.9291007752441136
2005-01-24,EU,fuel_oil,0.2610138223843768
2005-01-24,EU,lpg,0.4905939628024878
2005-01-24,EU,petrol_95,1.0463747480048087
2005-01-24,EUR,diesel,0.9062980352372487
2005-01-24,EUR,fuel_oil,0.22066016072240208
2005-01-24,EUR,lpg,0.5317989901954739
2005-01-24,EUR,petrol_95,1.044832724489159
2005-01-24,FI,diesel,0.878
2005-01-24,FI,fuel_oil,0.29228
2005-01-24,FI,petrol_95,1.08622
2005-01-24,FR,diesel,0.9203600000000001
2005-01-24,FR,fuel_oil,0.19509
2005-01-24,FR,lpg,0.61618
2005-01-24,FR,petrol_95,1.05664
2005-01-24,GR,diesel,0.778
2005-01-24,GR,fuel_oil,0.22477
2005-01-24,GR,petrol_95,0.783
2005-01-24,HU,diesel,0.93735
2005-01-24,HU,fuel_oil,0.18312
2005-01-24,HU,lpg,0.59513
2005-01-24,HU,petrol_95,0.97839
2005-01-24,IE,diesel,0.949
2005-01-24,IE,fuel_oil,0.27001
2005-01-24,IE,petrol_95,0.941
2005-01-24,IT,diesel,1.00431
2005-01-24,IT,fuel_oil,0.24384
2005-01-24,IT,lpg,0.55188
2005-01-24,IT,petrol_95,1.09001
2005-01-24,LT,diesel,0.71623
2005-01-24,LT,fuel_oil,0.16798
2005-01-24,LT,lpg,0.42951
2005-01-24,LT,petrol_95,0.72637
2005-01-24,LU,diesel,0.724
2005-01-24,LU,fuel_oil,0.17059
2005-01-24,LU,lpg,0.391
2005-01-24,LU,petrol_95,0.922
2005-01-24,LV,diesel,0.7024900000000001
2005-01-24,LV,lpg,0.4008
2005-01-24,LV,petrol_95,0.7139800000000001
2005-01-24,MT,diesel,0.8316
2005-01-24,MT,fuel_oil,0.17568
2005-01-24,MT,petrol_95,0.86866
2005-01-24,NL,diesel,0.917
2005-01-24,NL,fuel_oil,0.223
2005-01-24,NL,lpg,0.471
2005-01-24,NL,petrol_95,1.252
2005-01-24,PL,diesel,0.82748
2005-01-24,PL,fuel_oil,0.16368000000000002
2005-01-24,PL,lpg,0.45594999999999997
2005-01-24,PL,petrol_95,0.88319
